src,dest,conv_bind_weight
18,1241,4.6695985e-09
18,1242,0.007141876
18,1243,0.00020657483
18,1822,0.00019355286
19,1241,3.898762e-06
19,1242,0.03735709
19,1243,1.5800968e-12
19,1822,5.499391e-11
20,23,0.033455346
20,177,0.085285336
20,798,0.0465989
20,1158,0.20741066
20,1160,0.18069395
20,1161,0.11089127
20,1162,0.11861148
20,1163,0.44845513
20,1165,0.22624037
20,1261,0.12678786
20,1765,0.038851928
20,1766,0.05691567
20,1767,0.09777395
20,1769,0.03467478
20,1772,0.026903462
21,1766,0.081341475
21,1767,0.0013200304
22,1766,0.05219598
22,1767,0.007473662
23,1766,0.0421942
23,1767,0.0010930382
24,1766,0.043221526
24,1767,0.017004343
25,1292,5.8702585e-06
25,1293,1.2048619e-09
25,1294,0.21065429
25,1295,5.9460194e-06
26,1516,0.27252632
26,1517,0.15014642
26,1518,0.029108077
28,1516,0.13715649
28,1517,0.2210198
28,1518,0.00034126925
29,1516,0.27930146
29,1517,0.046781506
29,1518,0.034300957
30,1516,0.27927202
30,1517,0.076177046
30,1518,0.038092908
31,1516,0.14279388
31,1517,0.32032305
31,1518,0.07067314
32,1516,0.3152852
32,1517,0.035815436
32,1518,0.06634173
33,1516,0.12762168
33,1517,0.13158211
33,1518,0.30149457
34,1516,0.01900972
34,1517,0.30567688
34,1518,0.10568574
35,1516,0.15112306
35,1517,0.15177926
35,1518,0.19221544
36,37,0.0008054477
36,43,2.8139038e-06
36,52,3.720515e-10
36,497,6.227892e-11
36,499,1.0386407e-10
36,652,0.00010547832
36,698,0.00093392236
36,703,0.003763873
36,832,2.15342e-09
36,834,6.2205456e-11
36,1089,0.027196167
36,1182,1.4022852e-08
36,1301,3.1813737e-08
36,1553,6.6547186e-09
36,1945,3.1545014e-08
36,1973,4.5379085e-07
37,715,0.003916422
39,40,0.18606316
39,41,0.109155804
40,223,2.6014689e-06
40,1462,0.03877307
40,1821,4.943727e-07
41,223,7.538686e-15
41,1462,0.015070939
41,1821,0.0013029481
42,709,0.28385627
42,710,0.09328033
42,711,0.023238283
43,712,3.939237e-12
43,714,2.2234268e-05
43,715,0.018426366
44,712,2.134204e-09
44,714,6.242976e-12
44,715,0.06275762
45,709,0.00052106363
45,710,0.15960436
45,711,0.00999762
46,704,0.006618588
46,705,9.041672e-08
46,706,4.230367e-07
46,707,9.2375413e-10
46,708,2.717049e-10
46,714,2.1561616e-06
46,1512,0.00034249865
46,1513,0.023247872
46,1514,0.18071721
46,1515,0.22714944
46,1519,0.10017984
46,1520,0.14787899
46,1521,0.0033346317
46,1941,1.3796719e-08
47,704,2.97003e-06
47,705,3.3656116e-11
47,706,2.758698e-05
47,707,2.0562627e-08
47,708,3.4200483e-11
47,714,2.2849974e-14
47,1941,3.0000258e-06
48,704,0.00090777234
48,705,0.032533377
48,706,0.00029150193
48,707,0.0056882156
48,708,8.538075e-09
48,714,1.0230935e-07
48,1941,0.004446508
49,704,5.5462306e-09
49,705,7.907698e-09
49,706,0.03679804
49,714,0.04768178
49,1941,1.1137659e-05
50,704,1.6930402e-06
50,705,3.3560432e-11
50,706,6.233019e-08
50,714,6.6879102e-09
50,1941,5.40246e-08
51,704,5.2064197e-06
51,705,4.990826e-11
51,706,4.532531e-07
51,714,1.981138e-11
