Drug A,Drug B,Cell Line Name,Score
Erlotinib,geldanamycin,SKMEL30,4.07090957771029
paclitaxel,Dasatinib,NCIH23,0.1752112379752922
vinblastine,geldanamycin,SKMES1,-1.3811964732242277
vinblastine,Dasatinib,SK-OV-3,3.29681579894721
paclitaxel,Lapatinib,SK-OV-3,2.125547882163602
Lapatinib,Sorafenib,CAOV3,8.13893448615947
Dasatinib,geldanamycin,SKMES1,6.86106163750481
metformin,Lapatinib,HCT116,-5.785469568057495
vinblastine,Dasatinib,NCIH23,-0.3530077955256401
paclitaxel,Sunitinib,A2780,3.0897024917955025
Lapatinib,Sorafenib,HT144,6.093529951556334
Vorinostat,geldanamycin,SKMEL30,-6.376202369524528
metformin,Erlotinib,UWB1289,-12.840088322870097
Erlotinib,Sorafenib,T-47D,1.055995951979529
Lapatinib,geldanamycin,SW-620,-26.1965705632023
metformin,Vorinostat,A375,-77.3623903172369
paclitaxel,Vorinostat,RPMI7951,2.6678241356197647
Sunitinib,Erlotinib,NCIH520,10.2532613363299
Sunitinib,geldanamycin,SKMES1,4.484288991501213
Dasatinib,geldanamycin,HT29,5.02066543392875
metformin,Dasatinib,NCIH1650,-13.2363849677504
metformin,Sorafenib,SW-620,-51.4043293278057
paclitaxel,Sorafenib,A427,1.926107182225645
Sunitinib,Erlotinib,NCI-H460,7.2595381633228
Vorinostat,Dasatinib,RKO,-1.2236747050651609
metformin,Erlotinib,NCIH2122,-46.9980356488569
dexamethasone,geldanamycin,A375,-34.7812340468876
vinblastine,Erlotinib,NCIH2122,7.66334596528203
Sunitinib,Erlotinib,UWB1289,7.11033993521173
vinblastine,Erlotinib,A375,7.909526276907584
Vorinostat,Dasatinib,PA1,-0.6581754288220045
Dasatinib,Sorafenib,A2780,11.7225687296843
metformin,Erlotinib,OVCAR3,-50.1674018945849
paclitaxel,geldanamycin,LOVO,-1.77750068778882
Vorinostat,Sunitinib,SKMEL30,-7.08434802004719
metformin,geldanamycin,UWB1289,-10.09410467002709
Sunitinib,geldanamycin,LOVO,0.4007388327427847
dexamethasone,Sorafenib,OCUBM,-11.705366535732304
vinblastine,Sunitinib,NCIH1650,-2.0585753436264698
Dasatinib,Sorafenib,OCUBM,4.85634828411675
Sunitinib,Lapatinib,A2058,18.5317724911246
vinblastine,Vorinostat,SW-620,-7.940842049461227
dexamethasone,Dasatinib,NCIH520,2.4314234692194163
Vorinostat,Erlotinib,A2058,3.455876052191651
vinblastine,Dasatinib,RKO,-5.316952415477393
Lapatinib,Erlotinib,PA1,10.898098675545494
metformin,Sunitinib,RPMI7951,-1.757118944268968
Erlotinib,Sorafenib,OCUBM,2.391980620215489
geldanamycin,Sorafenib,SW837,-3.36903782007548
Sunitinib,Erlotinib,SW-620,-4.813871520282443
vinblastine,Sunitinib,OVCAR3,-12.414939844598162
Sunitinib,Sorafenib,PA1,-4.99755531471552
Vorinostat,Lapatinib,RKO,2.4933992323843923
Dasatinib,geldanamycin,A427,1.6740112862957208
dexamethasone,Sorafenib,SW-620,-12.9397422629832
metformin,Dasatinib,RPMI7951,-12.898019313824
vinblastine,Sunitinib,NCIH520,1.203208947199059
Sunitinib,Sorafenib,NCI-H460,-0.1777753404752198
dexamethasone,Sunitinib,NCI-H460,4.584421564331302
metformin,Sorafenib,HT29,-37.4061766871973
Sunitinib,Sorafenib,RPMI7951,-18.1797235112709
paclitaxel,geldanamycin,NCIH1650,2.713132201978397
dexamethasone,geldanamycin,OVCAR3,-25.9801803981754
metformin,Erlotinib,SKMEL30,-90.3299705619704
vinblastine,Sorafenib,OVCAR3,-3.930469946192945
paclitaxel,Sunitinib,CAOV3,2.9737175212081803
Sunitinib,Erlotinib,SKMES1,12.331931266595111
vinblastine,Lapatinib,SW-620,-73.5286754265322
Dasatinib,Sorafenib,NCI-H460,2.745769909533195
dexamethasone,Dasatinib,A375,-19.469018973061075
dexamethasone,Vorinostat,SK-OV-3,-13.3709137252944
Lapatinib,Dasatinib,HT29,11.19992297656359
metformin,Erlotinib,A2058,-83.9761260280997
metformin,Vorinostat,RPMI7951,-22.42608065327665
dexamethasone,Erlotinib,T-47D,-27.64770126959135
Dasatinib,geldanamycin,T-47D,-1.0190872666435924
Erlotinib,Dasatinib,A2058,8.658679095048068
Sunitinib,Dasatinib,NCIH2122,-3.802611775309477
Vorinostat,Sunitinib,UACC62,-2.07861348348741
vinblastine,Vorinostat,NCIH1650,-4.662511414401839
Lapatinib,Erlotinib,SKMES1,3.028467183462371
metformin,Dasatinib,SKMES1,-37.3999740396079
metformin,Lapatinib,SW-620,-1.511416195100045
metformin,geldanamycin,SW-620,-39.873530292237
Lapatinib,geldanamycin,RPMI7951,-5.960419628776203
Vorinostat,geldanamycin,RKO,-3.0453156276270903
vinblastine,Vorinostat,NCIH23,-5.830142578087577
Vorinostat,geldanamycin,A427,-9.601847091024196
Lapatinib,Sorafenib,HCT116,2.4866177573815964
Lapatinib,Dasatinib,SK-OV-3,4.097668935846943
dexamethasone,Sorafenib,VCAP,-11.773766374328297
paclitaxel,Lapatinib,SKMEL30,-1.122073026503361
vinblastine,Sunitinib,MDAMB436,-1.5403494549472296
Lapatinib,Dasatinib,OVCAR3,1.292753014965791
vinblastine,Sorafenib,A2780,4.338369925074482
dexamethasone,Sunitinib,SKMES1,-1.5220929784942658
dexamethasone,Sorafenib,PA1,-12.3781694316975
metformin,Vorinostat,NCIH520,-30.7366736665872
Vorinostat,Dasatinib,UACC62,-0.568998602339841
Sunitinib,Erlotinib,HCT116,0.31232235517322
Sunitinib,Dasatinib,SW837,10.909208084253878
paclitaxel,Sorafenib,RPMI7951,-6.18357684414468
Vorinostat,geldanamycin,HT144,-3.77133000272187
Sunitinib,Dasatinib,UACC62,13.667582002208905
vinblastine,geldanamycin,MDAMB436,0.51700222845629
dexamethasone,Dasatinib,A2780,5.46583466116103
vinblastine,Sunitinib,SW837,-2.66483863280114
vinblastine,geldanamycin,HCT116,-6.13466459150186
dexamethasone,geldanamycin,CAOV3,-2.7077151362496297
Erlotinib,Dasatinib,RKO,1.30779520720034
Vorinostat,Erlotinib,VCAP,11.779516260068313
metformin,Erlotinib,MDAMB436,-42.2483635713802
paclitaxel,Sunitinib,LOVO,2.11024229353816
Sunitinib,geldanamycin,HT144,0.9480162028997956
metformin,Erlotinib,OV90,-3.5546157663424616
geldanamycin,Sorafenib,A2780,-0.190891674386513
Lapatinib,Erlotinib,UACC62,4.867927463076468
dexamethasone,geldanamycin,RKO,-46.39510994896701
paclitaxel,geldanamycin,NCIH520,-7.642910278690365
geldanamycin,Sorafenib,CAOV3,1.3318185914773402
Lapatinib,Dasatinib,PA1,8.933703319425492
metformin,Erlotinib,A375,-82.4887013651952
Lapatinib,geldanamycin,OVCAR3,4.967381413305823
dexamethasone,Lapatinib,SW837,-6.4648984000359935
geldanamycin,Sorafenib,SK-OV-3,4.133325903305868
Sunitinib,Dasatinib,OV90,-14.7229944429405
vinblastine,Lapatinib,OCUBM,4.27399441028646
Vorinostat,Erlotinib,NCIH1650,4.14054171285972
Sunitinib,Lapatinib,T-47D,4.366245372711767
vinblastine,Dasatinib,HT29,-6.9648772325347394
geldanamycin,Sorafenib,NCIH1650,-7.75971004909346
Erlotinib,Sorafenib,SKMES1,-4.75101729862813
dexamethasone,Sorafenib,A2058,-7.1526743450051855
metformin,Dasatinib,HT144,-10.480511156242285
Vorinostat,Sorafenib,T-47D,-6.22433036882608
Vorinostat,Sorafenib,NCIH520,0.2016574678685985
Vorinostat,Sorafenib,SK-OV-3,-2.40000424902785
Vorinostat,Lapatinib,SK-OV-3,1.74273211890989
Erlotinib,Dasatinib,SK-OV-3,8.16191414696451
paclitaxel,Erlotinib,HT144,5.45103123545738
Erlotinib,Dasatinib,UACC62,7.877641553655238
Dasatinib,geldanamycin,CAOV3,-5.39913759737588
Vorinostat,geldanamycin,NCIH2122,-1.0683487237199796
vinblastine,Lapatinib,CAOV3,4.71112087372323
Vorinostat,geldanamycin,NCIH23,-10.274169876330886
Erlotinib,Dasatinib,PA1,6.488490212037078
Sunitinib,geldanamycin,NCIH520,0.2492257167476033
vinblastine,Erlotinib,HCT116,9.090654061652296
vinblastine,Sorafenib,HT29,-2.0240269290899
vinblastine,Sorafenib,CAOV3,1.907333647224608
Vorinostat,Sunitinib,OV90,-27.1636490162131
Sunitinib,geldanamycin,T-47D,15.4186986077963
paclitaxel,Dasatinib,SW-620,-5.653435188749545
Lapatinib,Dasatinib,A427,10.116767222520318
Dasatinib,geldanamycin,A2058,-8.692928400841772
dexamethasone,Erlotinib,SK-OV-3,-4.527979888097892
dexamethasone,geldanamycin,HT29,-21.6327950573002
dexamethasone,Dasatinib,SKMEL30,-6.560167066336443
paclitaxel,geldanamycin,UACC62,-0.1160299782726794
Vorinostat,Lapatinib,HT144,-0.0556983764780604
Dasatinib,Sorafenib,HT144,-2.8325461302865187
metformin,Dasatinib,SKMEL30,-7.211196994815285
metformin,Erlotinib,RPMI7951,-13.5632540546311
dexamethasone,Sorafenib,NCI-H460,-12.7315114055493
Vorinostat,geldanamycin,A375,-10.613183176373598
geldanamycin,Sorafenib,PA1,-0.874105623616695
Sunitinib,Dasatinib,HT29,24.5800902168924
paclitaxel,Dasatinib,T-47D,7.078924552126015
Lapatinib,Dasatinib,OCUBM,17.709922444879297
metformin,Erlotinib,T-47D,-47.9957157156951
vinblastine,Sorafenib,RKO,10.11870938841209
paclitaxel,geldanamycin,A2780,-1.19024715514191
paclitaxel,Lapatinib,NCIH23,-4.20883890972707
metformin,Dasatinib,HT29,-22.482844278002705
Erlotinib,Sorafenib,UACC62,2.679404112105611
Lapatinib,geldanamycin,SW837,8.463248256721428
Sunitinib,geldanamycin,NCIH1650,5.3817717725564
Lapatinib,Sorafenib,RPMI7951,-2.204579993178592
vinblastine,geldanamycin,A375,3.010752586641185
dexamethasone,Sorafenib,OV90,-4.15624175439773
paclitaxel,Lapatinib,T-47D,0.809697096857583
vinblastine,Erlotinib,A2058,6.4251548431743295
vinblastine,Lapatinib,OV90,0.8267526169764301
Sunitinib,Sorafenib,NCIH23,-6.19730890695259
paclitaxel,Dasatinib,NCIH520,-1.5184696160120892
dexamethasone,Sunitinib,OVCAR3,7.158235365631607
paclitaxel,Sunitinib,HT144,-2.5590885431480426
Vorinostat,Sorafenib,A427,-4.4222229386498375
paclitaxel,Lapatinib,SW-620,-34.8552692363716
dexamethasone,Sunitinib,HCT116,-29.7403775200217
Vorinostat,Sunitinib,HT29,3.60913262992784
paclitaxel,Sunitinib,MDAMB436,-0.6920482116816997
paclitaxel,Vorinostat,NCIH2122,-1.1617148968623687
dexamethasone,Erlotinib,A2780,-26.5692742661385
vinblastine,Lapatinib,T-47D,-1.2497809936708242
Sunitinib,Dasatinib,PA1,11.0282847349576
Erlotinib,Sorafenib,SW-620,3.986867952152618
paclitaxel,Sunitinib,VCAP,-8.46093254820262
metformin,Sorafenib,UACC62,-26.24662901330595
paclitaxel,Sorafenib,A2058,-6.72144892291601
dexamethasone,Dasatinib,T-47D,-16.4599719883519
vinblastine,Lapatinib,OVCAR3,-11.607028837624
vinblastine,Lapatinib,SW837,8.70853787657841
Vorinostat,Sunitinib,SW837,-10.1192188918475
Erlotinib,Dasatinib,CAOV3,9.503977484174175
metformin,Sunitinib,RKO,-58.40351531723695
Sunitinib,Lapatinib,SW-620,-14.2382866820043
Sunitinib,Erlotinib,NCIH1650,12.7359625054994
dexamethasone,Sunitinib,A427,-19.6175855102284
dexamethasone,Dasatinib,LOVO,3.7667366885646025
Lapatinib,Sorafenib,SKMEL30,3.9797293996962297
Lapatinib,Dasatinib,CAOV3,10.468583156479704
paclitaxel,Erlotinib,A375,11.877856996640997
Sunitinib,Sorafenib,SKMEL30,2.76912169862866
vinblastine,Vorinostat,OCUBM,-6.00025755794808
Sunitinib,geldanamycin,HT29,2.6210618799141923
