Drug A,Drug B,Cell Line Name,Score
dexamethasone,Dasatinib,SW837,-12.909633143366396
Sunitinib,Dasatinib,SW-620,8.86280218600469
paclitaxel,Erlotinib,OCUBM,2.8274240704709
Vorinostat,Lapatinib,A427,-11.18181257464061
Sunitinib,Dasatinib,RKO,19.33685959748449
dexamethasone,Sunitinib,A2780,-21.8962191024866
dexamethasone,Sorafenib,NCIH2122,-7.81388191369781
vinblastine,Sorafenib,SKMEL30,5.99108205682079
Vorinostat,Sunitinib,SW837,-10.1192188918475
paclitaxel,Vorinostat,NCIH520,3.600655729290548
geldanamycin,Sorafenib,NCIH2122,0.6884341878779402
Lapatinib,Erlotinib,NCIH2122,3.42106467876526
Dasatinib,Sorafenib,UWB1289,6.01696699102072
dexamethasone,Lapatinib,SKMEL30,-12.24911226903676
metformin,Dasatinib,VCAP,0.046018285265003
vinblastine,Sunitinib,SKMES1,-6.61979034735207
Lapatinib,geldanamycin,OCUBM,-1.7663441991754285
metformin,geldanamycin,OVCAR3,-24.96156751119129
metformin,Vorinostat,LOVO,-35.0272315856836
vinblastine,Lapatinib,OCUBM,4.27399441028646
Vorinostat,Dasatinib,A2780,-6.31868596379813
dexamethasone,geldanamycin,HCT116,-15.5157954828953
vinblastine,Vorinostat,OCUBM,-6.00025755794808
Erlotinib,Sorafenib,A375,3.7921116228684086
Sunitinib,Lapatinib,OCUBM,18.9715733525152
Sunitinib,geldanamycin,HT144,0.9480162028997956
paclitaxel,Vorinostat,SW-620,-1.0659561461183158
paclitaxel,Lapatinib,RKO,-2.306526469902426
vinblastine,Dasatinib,OVCAR3,-4.03806373695381
vinblastine,geldanamycin,OV90,-3.4922781726655696
metformin,Sorafenib,SW837,-39.0646563811545
Sunitinib,Erlotinib,SK-OV-3,8.35813394800668
metformin,geldanamycin,MDAMB436,-31.4759298257721
Lapatinib,geldanamycin,HT29,0.8105828534072201
paclitaxel,Lapatinib,VCAP,-19.1693792779686
paclitaxel,Lapatinib,HT144,6.46185690649625
paclitaxel,Lapatinib,SKMES1,9.144089281431205
vinblastine,Sorafenib,UACC62,5.265272900492549
Sunitinib,Dasatinib,A375,15.4985727759109
Vorinostat,Sorafenib,NCIH1650,-1.4920816076829602
Vorinostat,Dasatinib,A375,-7.187555808667961
Vorinostat,Sunitinib,PA1,-2.07036107592124
dexamethasone,Dasatinib,PA1,-6.262949496708321
paclitaxel,Sorafenib,SW-620,1.9007667723773176
Lapatinib,Erlotinib,SKMES1,3.028467183462371
geldanamycin,Sorafenib,RKO,-0.0780407432645869
Vorinostat,Dasatinib,OVCAR3,-1.626797120535592
Sunitinib,Dasatinib,HCT116,4.2006804390709
dexamethasone,Lapatinib,LOVO,0.9090871567987184
vinblastine,Sunitinib,HT144,4.69437535963172
Erlotinib,Dasatinib,NCIH520,4.92186081619874
metformin,geldanamycin,NCIH1650,-38.6438610292767
Vorinostat,Sorafenib,RKO,-0.7012610501602399
paclitaxel,Sunitinib,SW837,-1.73607437190069
Vorinostat,Sunitinib,SK-OV-3,-5.775806690181939
vinblastine,Vorinostat,NCI-H460,-7.42349600405968
Dasatinib,Sorafenib,UACC62,2.3065604778561424
Vorinostat,Erlotinib,A2058,3.455876052191651
vinblastine,Lapatinib,T-47D,-1.2497809936708242
dexamethasone,Sorafenib,SKMEL30,-5.17831154550348
Lapatinib,Sorafenib,UACC62,8.88265541550952
paclitaxel,Lapatinib,MDAMB436,-1.6521884315998507
Erlotinib,Dasatinib,RPMI7951,2.85060083445348
geldanamycin,Sorafenib,T-47D,9.0758909366509
vinblastine,Dasatinib,UACC62,-1.4680391508473674
paclitaxel,Sunitinib,A2058,0.7445982178878973
dexamethasone,Lapatinib,SW-620,0.2404076931068699
paclitaxel,Dasatinib,RPMI7951,2.1112971208509976
metformin,Lapatinib,SKMES1,-22.2455703021075
Lapatinib,Dasatinib,SW-620,-0.003939288658445
