src,dest,conv_bind_weight
18,1241,0.04063394
18,1242,2.563712e-13
18,1243,4.6807364e-10
18,1822,0.0033349933
19,1241,2.4006078e-10
19,1242,8.692453e-07
19,1243,4.815282e-09
19,1822,2.5875573e-07
20,23,0.0049460204
20,177,0.060242273
20,798,0.026581926
20,1158,0.17625584
20,1160,0.34413618
20,1161,0.08375162
20,1162,0.15872799
20,1163,0.23100638
20,1165,0.24942881
20,1261,0.047209404
20,1765,0.036178928
20,1766,0.03813103
20,1767,0.3244923
20,1769,0.02260707
20,1772,0.06749084
21,1766,0.0259246
21,1767,0.08813734
22,1766,0.077848345
22,1767,0.12146695
23,1766,0.15108253
23,1767,0.23864591
24,1766,0.01351492
24,1767,0.35009396
25,1292,1.1748399e-07
25,1293,3.9054576e-05
25,1294,7.6863796e-07
25,1295,8.757509e-08
26,1516,0.0068967035
26,1517,0.04273488
26,1518,0.13548066
28,1516,0.016797723
28,1517,0.045447677
28,1518,0.06669362
29,1516,0.09542621
29,1517,0.1551918
29,1518,0.13055217
30,1516,0.07870929
30,1517,0.22364305
30,1518,0.08503356
31,1516,0.009051341
31,1517,0.065416574
31,1518,0.014377157
32,1516,0.039187953
32,1517,0.11630243
32,1518,0.2526984
33,1516,0.011979624
33,1517,0.065144494
33,1518,0.057699353
34,1516,0.17418125
34,1517,0.105801284
34,1518,0.008054979
35,1516,0.02385592
35,1517,0.527658
35,1518,0.07165548
36,37,0.1671983
36,43,4.162969e-07
36,52,8.0056545e-08
36,497,2.896067e-07
36,499,6.7676473e-09
36,652,7.6671147e-10
36,698,1.8997229e-08
36,703,7.3557e-13
36,832,2.5744555e-09
36,834,0.027337212
36,1089,0.14765276
36,1182,2.934724e-15
36,1301,9.2079e-06
36,1553,5.159445e-05
36,1945,2.8167342e-11
36,1973,0.05732792
37,715,0.15633841
39,40,0.13702917
39,41,0.013625274
40,223,2.802855e-06
40,1462,0.2523834
40,1821,1.2632089e-09
41,223,3.2910437e-13
41,1462,0.011726781
41,1821,7.2555997e-07
42,709,0.05038304
42,710,0.30125147
42,711,0.12916876
43,712,0.00012887767
43,714,1.8818088e-11
43,715,0.019786967
44,712,2.0013525e-07
44,714,5.175799e-07
44,715,0.014736719
45,709,0.07182596
45,710,0.017048884
45,711,0.04855719
46,704,2.662899e-08
46,705,3.203264e-05
46,706,0.058123734
46,707,2.80374e-08
46,708,0.007973112
46,714,1.6571887e-05
46,1512,0.023755733
46,1513,0.077991664
46,1514,0.28224453
46,1515,0.37845612
46,1519,0.41148278
46,1520,0.34555465
46,1521,0.13288027
46,1941,0.0006839882
47,704,1.3968907e-08
47,705,1.5191523e-10
47,706,7.3314923e-09
47,707,2.1717868e-05
47,708,5.3834137e-09
47,714,1.6017061e-08
47,1941,0.002406995
48,704,1.8764764e-13
48,705,0.0010076991
